organization_name,discipline_name,grid_id,discipline_id,number_researchers,pct_insiders,pct_domesticoutsiders,pct_foreignoutsiders,grid_country_code,established_year,country_name,geo_region,latitude,longitude,continent
Newcastle University,Education,grid.1006.7,13,47,59.574466705322266,40.42553329467773,0.0,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Mathematical Sciences,grid.1006.7,1,70,38.57143020629883,31.428571701049805,30.00000190734864,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Studies in Human Society,grid.1006.7,16,96,33.333335876464844,48.95833587646485,17.708332061767578,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
University of Wollongong,Studies in Human Society,grid.1007.6,16,62,43.54838562011719,33.870967864990234,22.580644607543945,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Engineering,grid.1007.6,9,310,37.41935348510742,18.064516067504883,44.51612854003906,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,All,grid.1007.6,99,1788,36.29753875732422,27.34899139404297,36.35346984863281,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Earth Sciences,grid.1007.6,4,71,25.35211181640625,32.39436721801758,42.25352096557617,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Mathematical Sciences,grid.1007.6,1,61,27.868852615356445,27.868852615356445,44.26229476928711,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Information and Computing Sciences,grid.1007.6,8,114,45.61403274536133,20.175439834594727,34.21052551269531,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Psychology and Cognitive Sciences,grid.1007.6,17,108,41.66666412353516,28.70370483398437,29.62962913513184,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Technology,grid.1007.6,10,67,34.3283576965332,16.417909622192383,49.25373077392578,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Medical and Health Sciences,grid.1007.6,11,271,39.1143913269043,38.00738143920898,22.87822723388672,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Education,grid.1007.6,13,50,46.0,32.0,22.0,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Environmental Sciences,grid.1007.6,5,59,40.67796325683594,37.28813552856445,22.033899307250977,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,"Commerce, Management, Tourism and Services",grid.1007.6,15,44,50.0,29.545454025268555,20.454545974731445,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Chemical Sciences,grid.1007.6,3,195,27.69230842590332,15.384615898132324,56.92308044433594,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
University of Wollongong,Physical Sciences,grid.1007.6,2,99,34.34343338012695,18.18181800842285,47.47474670410156,AU,1951,Australia,Oceania,-34.405147,150.878387,Oceania
